ru,en
полгода,"half a year, six months"
последующий,"following, subsequent, posterior, next, consequent"
надеть,put on
реформа,reform
долина,"valley, vale, dale"
десятый,tenth
красиво,beautifully
змея,"snake, serpent"
проспект,"avenue, prospectus, booklet, folder"
несомненно,"undoubtedly, doubtless, beyond all question, without question"
заказать,order
заказать,book
заказать,reserve
минимум,minimum
Англия,England
покраснеть,"redden, become red, flush, turn red in the face, blush, show red"
авиация,"aviation, aircraft"
советовать,"advise, counsel"
солдатский,"soldier's, related to soldiers"
альбом,album
усталый,"tired, weary, fatigued"
благодарить,thank
включая,"including, included"
мебель,furniture
апрель,April
толкнуть,"push, shove, jog, push on, incite, instigate"
старичок,little old man
вставить,"to insert, put in"
вставить,to paste
барак,"barrack, hut"
целовать,"kiss, give a kiss"
сок,"juice, sap"
подозрение,suspicion
грустный,"sad, sorrowful"
наклониться,lean
наклониться,bend over
отходить,"leave, pull out, depart, put out, sail, withdraw, draw off, fall back, step aside, walk away, deviate, digress, diverge, come off, pass away, be dying, be going, recover, come to oneself, be all right again"
отсутствовать,"be absent, default"
колбаса,sausage
трястись,"shake, tremble, shiver, be jolted, jog"
испуганно,"scared, startled, terrified"
легенда,legend
резать,"cut, slice, operate, kill, slaughter, knife, carve, engrave, pluck, chop"
мышка,mouse
цветной,"coloured, colour"
челюсть,"jaw, maxilla"
отобрать,"take away, choose, select, pick out"
Италия,Italy
жарко,"it is hot, hotly"
понести,"bear, carry, perform, bring, lay"
ремонт,"repair, maintenance, remount service"
телеграмма,"telegram, wire, cable"
уголь,coal
заказ,"order, prohibition, interdict"
чеченец,Chechen
практика,practice
уверенно,"confidently, with confidence"
ген,gene
мышца,muscle
уголовный,"criminal, penal"
пуговица,button
подлинный,"authentic, genuine, original, true, real"
чётко,"clearly, accurately"
высказать,"state, say, tell, express"
надолго,for a long time
максимальный,"maximum, highest possible"
скучно,"boringly, tediously"
наполнить,fill
девятый,ninth
падение,"fall, collapse, drop, sinking, downfall, degradation, incidence, dip"
имущество,"property, belongings, stock, stores, equipment"
подослать,send
приезд,"arrival, coming"
пляж,beach
богатство,"riches, wealth, richness, resplendence, gorgeousness"
дневник,"diary, journal"
базар,"market, bazaar, fair, sale, uproar, row"
прыгнуть,jump
проволока,wire
воротник,collar
рослый,"tall, stalwart, strapping"
подполковник,lieutenant-colonel
разрушить,destroy
разрушить,ruin
аэропорт,airport
издали,from a distance
длина,length
забытый,"lost, forgotten"
авторитет,authority
мысленно,mentally
принцесса,princess
мудрый,"wise, sage"
осторожный,"careful, cautious, wary, prudent"
пожелать,"wish, desire, covet"
отъезд,departure
жидкость,"liquid, fluid"
оркестр,"orchestra, brass band, orchestra-pit"
скрываться,hide
рис,"rice, paddy"
маршрут,"route, itinerary"
маршал,marshal
дошлый,"cunning, shrewd"
большевик,Bolshevik
представиться,"present itself, arise, occur"
представиться,seem
представиться,introduce oneself
спалить,"incinerate, burn, burn down, reduce to ashes, scorch, singe"
традиционный,traditional
приблизиться,approach
ерунда,"nonsense, rot, rubbish, trifle, nothing"
интервью,interview
проводник,"guide, conductor, guard, bearer, champion"
демократический,democratic
подобно,like
учительница,teacher
конверт,"envelope, cover, sleeping bag"
анекдот,"anecdote, funny story, joke"
трамвай,"tram, tramway, street railway, tram-car, street-car"
вылететь,"fly out, take off, dash out, dart out, rush out, be given the sack"
риск,risk
семьдесят,seventy
фабрика,factory
отмечать,to celebrate
отмечать,"mark, note, mark off, mention, register"
свидетельство,"evidence, testimony, illustration, certificate, licence"
всюду,everywhere
курсант,student
февраль,February
капитал,capital
федеральный,federal
фашист,fascist
полотенце,towel
лужа,"puddle, pool"
тонна,ton
напиток,"drink, beverage"
моральный,"moral, ethical, spiritual, mental"
раздражение,irritation
телевидение,"television, TV"
одиннадцать,eleven
недолго,not long
шампанский,"Champagne, related to Champagne"
головной,"head, encephalic, cerebral, leading"
натура,"nature, model, sitter"
маска,"mask, deathmask"
технология,technology
проехать,"pass, ride, pass by, drive by, ride by, do, make, exercise, spend on travelling"
революционный,revolutionary
юность,"youth, young people"
сибирь,Siberia
ад,"hell, Hades, the Underworld"
струя,"stream, jet, spurt, spirt, current"
видеться,see each other
нетерпеливый,impatient
Берлин,Berlin
провод,"wire, lead, conductor"
премьера,"premiere, new production"
поцелуй,kiss
нехорошо,"it is bad, it is wrong, badly"
Япония,Japan
орёл,eagle
техник,"technician, technically qualified person"
прогресс,progress
новенький,"new, brand-new"
казарма,"barracks, barn"
кислота,"sourness, acidity, acid"
юбка,skirt
растерянно,perplexedly
неприятно,"it is unpleasant, unpleasantly"
череп,"skull, cranium"
доверие,"trust, faith, confidence"
отнять,"take away, take, bereave, amputate, subtract"
символ,symbol
дата,date
физика,physics
неудобно,"it is inconvenient, uncomfortably"
регион,region
игрушка,"toy, plaything"
шептать,whisper
стыд,shame
матрос,"seaman, sailor"
мутный,"turbid, dull, lacklustre, cloudy, muddy"
гараж,garage
фюрер,Fuhrer
окраина,"outskirts, outlying districts"
